unit_nr,event_time,time_cycles,setting_1,setting_2,setting_3,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21
13,2026-01-01 00:00:02,2,0.0039,-0.0000,100.0,518.67,642.61,1592.31,1406.78,14.62,21.61,553.08,2388.11,9053.39,1.30,47.50,521.45,2388.08,8135.24,8.4325,0.03,393,2388,100.00,38.97,23.2731
14,2026-01-01 00:00:02,2,-0.0013,-0.0000,100.0,518.67,642.88,1590.81,1411.67,14.62,21.61,553.85,2388.11,9055.07,1.30,47.43,521.44,2388.07,8141.56,8.4449,0.03,393,2388,100.00,38.91,23.3892
16,2026-01-01 00:00:02,2,0.0006,0.0003,100.0,518.67,642.43,1593.21,1399.44,14.62,21.61,553.49,2388.15,9054.60,1.30,47.56,521.27,2388.11,8134.39,8.4102,0.03,393,2388,100.00,38.96,23.3185
21,2026-01-01 00:00:02,2,-0.0013,0.0004,100.0,518.67,642.27,1582.13,1404.54,14.62,21.61,553.22,2388.03,9043.88,1.30,47.25,521.39,2388.05,8120.15,8.3895,0.03,392,2388,100.00,38.81,23.2300
24,2026-01-01 00:00:02,2,0.0017,0.0001,100.0,518.67,642.00,1583.50,1394.49,14.62,21.61,554.09,2387.96,9059.99,1.30,47.17,522.26,2388.03,8144.87,8.4018,0.03,392,2388,100.00,38.93,23.5059
26,2026-01-01 00:00:02,2,-0.0006,0.0000,100.0,518.67,642.41,1589.84,1405.51,14.62,21.61,553.11,2388.13,9041.49,1.30,47.44,521.09,2388.14,8125.07,8.4626,0.03,392,2388,100.00,38.76,23.2642
27,2026-01-01 00:00:02,2,-0.0026,-0.0003,100.0,518.67,642.60,1590.48,1404.96,14.62,21.61,554.39,2388.02,9062.24,1.30,47.40,521.95,2388.11,8138.82,8.4346,0.03,395,2388,100.00,39.04,23.4075
33,2026-01-01 00:00:02,2,0.0040,0.0004,100.0,518.67,642.24,1584.36,1395.22,14.62,21.60,554.72,2388.04,9065.40,1.30,47.22,523.16,2387.99,8138.39,8.3998,0.03,391,2388,100.00,38.96,23.2986
41,2026-01-01 00:00:02,2,0.0019,0.0003,100.0,518.67,642.35,1591.17,1403.99,14.62,21.61,554.48,2387.97,9067.53,1.30,47.26,522.02,2388.02,8143.42,8.3996,0.03,391,2388,100.00,39.02,23.3779
44,2026-01-01 00:00:02,2,0.0009,-0.0004,100.0,518.67,642.08,1589.48,1398.69,14.62,21.61,553.99,2388.05,9068.98,1.30,47.39,521.83,2388.01,8149.47,8.4033,0.03,393,2388,100.00,38.99,23.4454
47,2026-01-01 00:00:02,2,0.0030,0.0003,100.0,518.67,642.60,1575.94,1401.33,14.62,21.61,555.05,2388.00,9065.97,1.30,47.14,522.29,2388.01,8146.92,8.3743,0.03,392,2388,100.00,39.01,23.5057
54,2026-01-01 00:00:02,2,0.0018,0.0001,100.0,518.67,642.43,1585.29,1399.09,14.62,21.61,553.95,2388.07,9069.85,1.30,47.23,522.25,2387.95,8145.65,8.3852,0.03,392,2388,100.00,39.20,23.3992
63,2026-01-01 00:00:02,2,0.0024,0.0003,100.0,518.67,642.80,1585.07,1396.99,14.62,21.61,554.28,2388.09,9057.95,1.30,47.46,521.77,2388.05,8139.83,8.4431,0.03,393,2388,100.00,38.91,23.3626
67,2026-01-01 00:00:02,2,-0.0025,-0.0003,100.0,518.67,642.12,1591.12,1404.59,14.62,21.61,553.72,2388.12,9060.29,1.30,47.23,521.72,2388.04,8143.35,8.3883,0.03,393,2388,100.00,38.80,23.4387
70,2026-01-01 00:00:02,2,-0.0009,0.0004,100.0,518.67,642.59,1590.00,1407.22,14.62,21.61,552.50,2388.11,9059.25,1.30,47.48,522.08,2388.12,8134.76,8.4447,0.03,394,2388,100.00,38.79,23.3135
71,2026-01-01 00:00:02,2,0.0029,-0.0003,100.0,518.67,642.82,1593.17,1403.53,14.62,21.61,553.22,2388.11,9040.58,1.30,47.56,521.24,2388.10,8124.84,8.4068,0.03,392,2388,100.00,38.85,23.2887
75,2026-01-01 00:00:02,2,0.0012,-0.0003,100.0,518.67,642.50,1591.85,1401.76,14.62,21.61,553.59,2388.13,9039.86,1.30,47.45,521.96,2388.07,8122.20,8.4161,0.03,391,2388,100.00,38.89,23.1950
76,2026-01-01 00:00:02,2,0.0034,-0.0002,100.0,518.67,642.24,1589.03,1411.70,14.62,21.61,553.24,2388.13,9056.49,1.30,47.71,521.38,2388.11,8129.09,8.4192,0.03,394,2388,100.00,38.79,23.3319
78,2026-01-01 00:00:02,2,0.0002,-0.0005,100.0,518.67,641.45,1586.11,1394.24,14.62,21.60,555.10,2387.98,9053.91,1.30,47.23,522.87,2387.99,8144.53,8.4060,0.03,391,2388,100.00,39.21,23.3712
83,2026-01-01 00:00:02,2,-0.0015,-0.0001,100.0,518.67,641.75,1575.29,1393.01,14.62,21.61,555.09,2388.02,9060.87,1.30,47.07,522.67,2387.98,8142.31,8.3902,0.03,392,2388,100.00,39.19,23.3193
90,2026-01-01 00:00:02,2,0.0002,-0.0004,100.0,518.67,642.33,1589.07,1402.94,14.62,21.61,555.05,2387.98,9062.04,1.30,47.21,522.44,2388.00,8138.44,8.4105,0.03,391,2388,100.00,39.22,23.3356
92,2026-01-01 00:00:02,2,0.0005,-0.0001,100.0,518.67,642.47,1574.26,1394.91,14.62,21.61,553.95,2388.01,9052.50,1.30,47.35,521.46,2388.08,8135.54,8.3753,0.03,393,2388,100.00,38.86,23.3022
93,2026-01-01 00:00:02,2,-0.0029,0.0001,100.0,518.67,642.06,1583.52,1394.46,14.62,21.61,553.95,2388.02,9062.06,1.30,47.04,521.66,2388.03,8141.41,8.4357,0.03,392,2388,100.00,38.99,23.3998
97,2026-01-01 00:00:02,2,-0.0018,-0.0001,100.0,518.67,641.99,1582.99,1402.05,14.62,21.61,554.67,2388.03,9049.88,1.30,47.20,522.06,2388.08,8131.43,8.4072,0.03,392,2388,100.00,39.14,23.3984
99,2026-01-01 00:00:02,2,0.0004,0.0001,100.0,518.67,641.93,1588.58,1402.26,14.62,21.61,554.39,2388.08,9053.22,1.30,47.25,521.61,2388.06,8132.70,8.4303,0.03,392,2388,100.00,39.05,23.4220
1,2026-01-01 00:00:03,3,-0.0043,0.0003,100.0,518.67,642.35,1587.99,1404.20,14.62,21.61,554.26,2388.08,9052.94,1.30,47.27,522.42,2388.03,8133.23,8.4178,0.03,390,2388,100.00,38.95,23.3442
7,2026-01-01 00:00:03,3,-0.0014,-0.0002,100.0,518.67,642.25,1589.44,1397.74,14.62,21.61,554.95,2387.95,9063.37,1.30,47.18,522.36,2387.98,8148.83,8.4258,0.03,392,2388,100.00,39.07,23.4113
8,2026-01-01 00:00:03,3,0.0001,0.0002,100.0,518.67,642.74,1591.11,1403.29,14.62,21.61,552.79,2388.11,9045.01,1.30,47.51,521.52,2388.12,8122.29,8.4497,0.03,393,2388,100.00,38.88,23.1812
9,2026-01-01 00:00:03,3,-0.0009,-0.0003,100.0,518.67,642.50,1587.57,1396.79,14.62,21.61,554.75,2388.03,9057.58,1.30,47.12,522.63,2388.05,8140.94,8.4028,0.03,391,2388,100.00,39.09,23.4296
10,2026-01-01 00:00:03,3,0.0009,-0.0000,100.0,518.67,642.16,1581.06,1395.51,14.62,21.61,554.42,2388.01,9047.45,1.30,47.19,522.22,2387.97,8136.85,8.4422,0.03,392,2388,100.00,39.01,23.5053
13,2026-01-01 00:00:03,3,-0.0034,-0.0001,100.0,518.67,642.23,1589.66,1410.36,14.62,21.61,553.29,2388.10,9061.71,1.30,47.43,521.66,2388.10,8137.34,8.4642,0.03,393,2388,100.00,38.67,23.2775
14,2026-01-01 00:00:03,3,0.0012,0.0001,100.0,518.67,642.57,1589.04,1407.39,14.62,21.61,553.50,2388.10,9062.75,1.30,47.61,521.85,2388.04,8140.02,8.4161,0.03,393,2388,100.00,38.90,23.1882
16,2026-01-01 00:00:03,3,-0.0001,0.0000,100.0,518.67,642.57,1592.17,1411.88,14.62,21.61,552.92,2388.14,9054.70,1.30,47.57,521.30,2388.11,8139.92,8.4546,0.03,393,2388,100.00,38.58,23.3094
21,2026-01-01 00:00:03,3,0.0025,-0.0003,100.0,518.67,642.47,1589.73,1408.88,14.62,21.61,553.21,2388.11,9048.33,1.30,47.43,521.26,2388.12,8124.89,8.4454,0.03,392,2388,100.00,38.69,23.3471
24,2026-01-01 00:00:03,3,0.0000,-0.0002,100.0,518.67,642.43,1587.55,1399.37,14.62,21.61,554.49,2388.05,9068.46,1.30,47.37,522.32,2388.01,8141.34,8.4485,0.03,390,2388,100.00,38.82,23.3265
26,2026-01-01 00:00:03,3,0.0002,-0.0001,100.0,518.67,642.63,1588.16,1408.81,14.62,21.61,553.31,2388.09,9042.25,1.30,47.62,521.64,2388.13,8124.61,8.4142,0.03,391,2388,100.00,38.78,23.3072
27,2026-01-01 00:00:03,3,0.0005,-0.0003,100.0,518.67,642.30,1581.71,1401.67,14.62,21.61,553.69,2388.07,9059.84,1.30,47.38,521.95,2388.07,8145.91,8.4253,0.03,391,2388,100.00,38.75,23.2521
33,2026-01-01 00:00:03,3,0.0021,0.0003,100.0,518.67,642.09,1584.35,1397.91,14.62,21.61,554.19,2387.97,9066.69,1.30,47.16,521.70,2388.00,8142.27,8.3713,0.03,391,2388,100.00,39.00,23.2993
41,2026-01-01 00:00:03,3,-0.0040,-0.0004,100.0,518.67,642.20,1589.71,1398.08,14.62,21.61,554.91,2387.99,9068.64,1.30,47.45,522.07,2388.02,8143.22,8.4215,0.03,391,2388,100.00,38.95,23.3598
44,2026-01-01 00:00:03,3,0.0022,-0.0003,100.0,518.67,642.48,1588.43,1403.39,14.62,21.61,554.36,2388.05,9065.18,1.30,47.24,522.13,2388.01,8141.87,8.4050,0.03,392,2388,100.00,38.99,23.2910
47,2026-01-01 00:00:03,3,0.0032,-0.0003,100.0,518.67,641.69,1584.80,1398.87,14.62,21.61,554.75,2388.02,9061.19,1.30,47.06,522.82,2387.98,8148.92,8.3818,0.03,391,2388,100.00,39.10,23.4533
54,2026-01-01 00:00:03,3,-0.0043,-0.0004,100.0,518.67,642.05,1578.18,1406.34,14.62,21.61,554.45,2388.01,9070.61,1.30,47.15,522.65,2388.05,8145.70,8.4075,0.03,391,2388,100.00,38.94,23.4346
63,2026-01-01 00:00:03,3,-0.0015,-0.0001,100.0,518.67,642.55,1600.15,1404.54,14.62,21.61,553.22,2388.09,9057.29,1.30,47.52,521.53,2388.06,8134.44,8.4368,0.03,392,2388,100.00,39.00,23.3173
67,2026-01-01 00:00:03,3,0.0019,-0.0001,100.0,518.67,642.52,1591.87,1408.07,14.62,21.61,553.63,2388.08,9069.27,1.30,47.16,522.17,2388.02,8149.79,8.4786,0.03,391,2388,100.00,38.92,23.3917
70,2026-01-01 00:00:03,3,-0.0008,-0.0000,100.0,518.67,642.82,1586.05,1408.64,14.62,21.61,553.75,2388.09,9063.08,1.30,47.45,521.93,2388.03,8140.84,8.4202,0.03,392,2388,100.00,38.87,23.4140
71,2026-01-01 00:00:03,3,0.0007,0.0003,100.0,518.67,642.50,1582.94,1402.54,14.62,21.61,553.70,2388.11,9044.49,1.30,47.62,521.85,2388.09,8123.24,8.4233,0.03,394,2388,100.00,38.92,23.3668
75,2026-01-01 00:00:03,3,0.0008,-0.0002,100.0,518.67,642.62,1591.86,1404.45,14.62,21.61,553.74,2388.03,9042.85,1.30,47.60,521.15,2388.08,8123.89,8.4266,0.03,391,2388,100.00,38.89,23.2593
76,2026-01-01 00:00:03,3,-0.0014,-0.0004,100.0,518.67,642.92,1597.35,1404.75,14.62,21.61,553.55,2388.06,9059.17,1.30,47.44,521.89,2388.08,8137.35,8.4730,0.03,393,2388,100.00,38.88,23.2503
78,2026-01-01 00:00:03,3,-0.0002,-0.0004,100.0,518.67,641.96,1586.33,1396.56,14.62,21.60,555.45,2387.98,9048.37,1.30,47.12,522.93,2388.07,8138.47,8.3995,0.03,390,2388,100.00,39.09,23.4523
83,2026-01-01 00:00:03,3,0.0020,-0.0005,100.0,518.67,641.90,1588.37,1391.04,14.62,21.61,554.56,2387.98,9058.42,1.30,47.19,522.54,2388.00,8139.69,8.4149,0.03,392,2388,100.00,39.01,23.4293
90,2026-01-01 00:00:03,3,0.0019,0.0002,100.0,518.67,641.72,1587.88,1393.65,14.62,21.61,554.24,2388.01,9059.19,1.30,47.13,522.62,2388.04,8141.14,8.4002,0.03,393,2388,100.00,39.01,23.3310
92,2026-01-01 00:00:03,3,0.0002,-0.0001,100.0,518.67,642.59,1587.48,1408.34,14.62,21.61,554.54,2388.02,9054.54,1.30,47.30,522.72,2388.03,8137.39,8.3695,0.03,393,2388,100.00,38.75,23.3307
93,2026-01-01 00:00:03,3,-0.0035,-0.0004,100.0,518.67,641.88,1583.81,1388.81,14.62,21.61,554.10,2388.06,9062.63,1.30,47.42,522.20,2387.99,8140.79,8.4127,0.03,393,2388,100.00,38.94,23.3810
97,2026-01-01 00:00:03,3,-0.0045,-0.0002,100.0,518.67,641.90,1586.14,1403.80,14.62,21.61,554.10,2388.07,9047.90,1.30,47.35,522.66,2388.10,8129.52,8.4180,0.03,392,2388,100.00,38.97,23.4038
99,2026-01-01 00:00:03,3,0.0005,0.0002,100.0,518.67,642.21,1588.22,1404.55,14.62,21.61,554.26,2388.08,9056.56,1.30,47.30,522.55,2388.02,8132.44,8.4122,0.03,391,2388,100.00,39.00,23.4059
1,2026-01-01 00:00:04,4,0.0007,0.0000,100.0,518.67,642.35,1582.79,1401.87,14.62,21.61,554.45,2388.11,9049.48,1.30,47.13,522.86,2388.08,8133.83,8.3682,0.03,392,2388,100.00,38.88,23.3739
7,2026-01-01 00:00:04,4,-0.0020,0.0001,100.0,518.67,642.31,1585.59,1397.85,14.62,21.61,553.30,2388.06,9068.16,1.30,47.07,522.09,2388.06,8150.30,8.4175,0.03,392,2388,100.00,39.12,23.4616
8,2026-01-01 00:00:04,4,-0.0021,0.0005,100.0,518.67,642.76,1592.22,1406.11,14.62,21.61,552.13,2388.14,9049.45,1.30,47.68,521.25,2388.12,8123.80,8.4405,0.03,393,2388,100.00,38.86,23.2371
9,2026-01-01 00:00:04,4,-0.0022,0.0001,100.0,518.67,642.04,1584.66,1406.40,14.62,21.61,555.19,2388.00,9061.97,1.30,47.04,522.85,2388.01,8145.41,8.3741,0.03,392,2388,100.00,38.96,23.5159
10,2026-01-01 00:00:04,4,0.0010,0.0004,100.0,518.67,642.14,1590.17,1388.15,14.62,21.61,554.19,2387.99,9057.43,1.30,47.11,522.51,2388.03,8136.62,8.3928,0.03,391,2388,100.00,38.83,23.3314
13,2026-01-01 00:00:04,4,-0.0013,0.0002,100.0,518.67,642.67,1593.12,1408.66,14.62,21.61,553.71,2388.12,9047.99,1.30,47.65,521.44,2388.16,8133.29,8.4115,0.03,391,2388,100.00,38.80,23.3566
14,2026-01-01 00:00:04,4,-0.0004,0.0002,100.0,518.67,643.18,1593.24,1408.20,14.62,21.61,553.41,2388.10,9056.91,1.30,47.54,521.17,2388.12,8138.78,8.4396,0.03,393,2388,100.00,38.87,23.2598
16,2026-01-01 00:00:04,4,0.0015,-0.0004,100.0,518.67,642.83,1583.86,1407.90,14.62,21.61,552.41,2388.13,9061.41,1.30,47.65,521.05,2388.15,8136.32,8.4751,0.03,392,2388,100.00,38.74,23.2993
21,2026-01-01 00:00:04,4,0.0013,-0.0003,100.0,518.67,642.50,1587.18,1409.45,14.62,21.61,553.30,2388.05,9052.17,1.30,47.35,521.81,2388.08,8126.21,8.3913,0.03,393,2388,100.00,39.00,23.4179
24,2026-01-01 00:00:04,4,0.0011,0.0002,100.0,518.67,642.79,1587.68,1403.17,14.62,21.61,553.99,2388.05,9063.20,1.30,47.26,522.60,2387.97,8146.51,8.4061,0.03,393,2388,100.00,39.00,23.4368
26,2026-01-01 00:00:04,4,0.0024,-0.0002,100.0,518.67,643.13,1593.67,1409.85,14.62,21.61,553.18,2388.13,9044.59,1.30,47.48,521.30,2388.10,8128.42,8.4246,0.03,394,2388,100.00,38.81,23.2889
27,2026-01-01 00:00:04,4,0.0012,-0.0002,100.0,518.67,643.04,1587.25,1407.46,14.62,21.61,553.56,2388.06,9066.11,1.30,47.36,521.98,2388.03,8141.46,8.4330,0.03,394,2388,100.00,38.80,23.3330
33,2026-01-01 00:00:04,4,0.0001,0.0005,100.0,518.67,642.01,1579.06,1400.32,14.62,21.61,554.09,2387.99,9059.67,1.30,47.08,522.57,2387.95,8142.49,8.3884,0.03,391,2388,100.00,39.01,23.4489
41,2026-01-01 00:00:04,4,0.0026,-0.0004,100.0,518.67,641.74,1585.53,1408.89,14.62,21.61,555.07,2388.05,9071.36,1.30,47.27,521.79,2388.07,8145.13,8.4023,0.03,391,2388,100.00,39.09,23.3986
44,2026-01-01 00:00:04,4,0.0012,0.0003,100.0,518.67,642.25,1587.50,1400.65,14.62,21.61,554.13,2388.00,9066.56,1.30,47.18,522.17,2388.00,8153.43,8.4461,0.03,393,2388,100.00,38.95,23.4018
47,2026-01-01 00:00:04,4,0.0012,0.0002,100.0,518.67,642.01,1578.91,1387.93,14.62,21.61,555.21,2387.98,9060.55,1.30,47.12,523.31,2387.95,8148.12,8.3724,0.03,390,2388,100.00,39.20,23.4821
54,2026-01-01 00:00:04,4,-0.0005,-0.0003,100.0,518.67,642.33,1582.90,1395.75,14.62,21.61,554.43,2388.02,9062.20,1.30,47.15,522.27,2388.02,8142.20,8.4278,0.03,392,2388,100.00,39.08,23.4222
63,2026-01-01 00:00:04,4,-0.0027,-0.0000,100.0,518.67,642.37,1583.64,1399.57,14.62,21.61,553.79,2388.08,9053.81,1.30,47.28,522.12,2388.04,8132.61,8.4006,0.03,392,2388,100.00,38.97,23.2563
67,2026-01-01 00:00:04,4,-0.0009,0.0002,100.0,518.67,642.55,1589.54,1398.73,14.62,21.61,553.50,2388.00,9063.39,1.30,47.28,522.04,2388.09,8144.80,8.4327,0.03,392,2388,100.00,38.92,23.4860
70,2026-01-01 00:00:04,4,0.0005,-0.0005,100.0,518.67,642.24,1591.24,1398.32,14.62,21.61,553.56,2388.09,9057.79,1.30,47.52,521.85,2388.05,8137.74,8.4472,0.03,393,2388,100.00,38.91,23.2512
71,2026-01-01 00:00:04,4,-0.0014,0.0003,100.0,518.67,643.04,1584.90,1409.75,14.62,21.61,554.30,2388.14,9042.42,1.30,47.41,521.62,2388.08,8123.70,8.4352,0.03,392,2388,100.00,38.89,23.2722
75,2026-01-01 00:00:04,4,0.0016,-0.0005,100.0,518.67,642.49,1593.67,1402.91,14.62,21.61,553.05,2388.15,9049.66,1.30,47.58,521.27,2388.18,8127.27,8.4439,0.03,393,2388,100.00,38.87,23.3074
76,2026-01-01 00:00:04,4,-0.0042,0.0001,100.0,518.67,642.92,1598.29,1407.19,14.62,21.61,553.94,2388.01,9061.95,1.30,47.36,521.86,2388.10,8134.24,8.4419,0.03,393,2388,100.00,38.77,23.3645
