unit_nr,event_time,time_cycles,setting_1,setting_2,setting_3,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21
92,2/1/2024 0:01,1,-0.0006,0.0001,100.0,518.67,643.17,1592.96,1403.55,14.62,21.61,553.55,2388.13,9039.56,1.3,47.71,521.66,2388.16,8114.99,8.4392,0.03,394,2388,100.0,38.88,23.2411
93,2/1/2024 0:01,1,0.0021,-0.0001,100.0,518.67,642.44,1592.4,1403.65,14.62,21.61,553.52,2388.11,9049.51,1.3,47.56,521.5,2388.07,8137.16,8.4481,0.03,391,2388,100.0,38.82,23.3381
94,2/1/2024 0:01,1,-0.002,-0.0,100.0,518.67,642.53,1594.22,1410.5,14.62,21.61,553.6,2388.06,9051.68,1.3,47.6,521.02,2388.05,8141.62,8.4082,0.03,393,2388,100.0,38.9,23.3876
95,2/1/2024 0:01,1,0.0029,0.0004,100.0,518.67,642.2,1586.62,1396.42,14.62,21.61,554.0,2388.08,9041.41,1.3,47.28,522.52,2388.04,8128.05,8.4268,0.03,392,2388,100.0,38.99,23.5187
96,2/1/2024 0:01,1,-0.0002,0.0002,100.0,518.67,642.37,1586.44,1395.88,14.62,21.61,554.46,2388.01,9071.76,1.3,47.16,522.83,2387.98,8152.92,8.4054,0.03,392,2388,100.0,38.87,23.4938
97,2/1/2024 0:01,1,-0.0018,-0.0001,100.0,518.67,642.15,1587.31,1402.7,14.62,21.61,553.99,2387.98,9069.91,1.3,47.31,522.27,2388.03,8145.56,8.4081,0.03,392,2388,100.0,38.88,23.4074
98,2/1/2024 0:01,1,0.0004,0.0004,100.0,518.67,642.66,1592.17,1406.54,14.62,21.61,553.81,2388.06,9060.32,1.3,47.37,521.72,2388.07,8141.35,8.4238,0.03,391,2388,100.0,39.03,23.3803
99,2/1/2024 0:01,1,0.0007,-0.0004,100.0,518.67,642.07,1589.62,1388.65,14.62,21.61,554.45,2387.99,9062.81,1.3,47.28,522.48,2387.96,8142.88,8.3552,0.03,392,2388,100.0,39.2,23.5441
100,2/1/2024 0:01,1,0.0014,0.0003,100.0,518.67,641.65,1591.5,1401.63,14.62,21.61,554.7,2388.05,9059.87,1.3,47.28,522.06,2388.02,8138.54,8.4067,0.03,391,2388,100.0,39.01,23.3087
1,2/1/2024 0:02,2,-0.0027,-0.0003,100.0,518.67,641.71,1588.45,1395.42,14.62,21.61,554.85,2388.01,9054.42,1.3,47.5,522.16,2388.06,8139.62,8.3803,0.03,393,2388,100.0,39.02,23.3916
2,2/1/2024 0:02,2,-0.0011,0.0002,100.0,518.67,642.51,1588.43,1405.47,14.62,21.61,553.53,2388.07,9053.77,1.3,47.45,522.02,2388.08,8120.05,8.4414,0.03,393,2388,100.0,38.84,23.2902
3,2/1/2024 0:02,2,0.0039,-0.0003,100.0,518.67,642.23,1597.31,1407.9,14.62,21.61,553.74,2388.11,9041.49,1.3,47.44,521.19,2388.08,8132.69,8.4183,0.03,393,2388,100.0,38.84,23.3191
4,2/1/2024 0:02,2,-0.0002,0.0005,100.0,518.67,642.36,1591.83,1406.26,14.62,21.61,553.61,2388.11,9047.34,1.3,47.4,521.7,2388.1,8132.51,8.4099,0.03,392,2388,100.0,38.95,23.3056
5,2/1/2024 0:02,2,0.0011,0.0002,100.0,518.67,642.85,1581.46,1409.7,14.62,21.61,553.44,2388.06,9051.9,1.3,47.54,521.63,2388.11,8128.71,8.4429,0.03,393,2388,100.0,38.87,23.3181
6,2/1/2024 0:02,2,0.0031,-0.0002,100.0,518.67,642.74,1584.08,1413.33,14.62,21.61,553.53,2388.05,9056.76,1.3,47.35,521.24,2388.08,8131.25,8.4829,0.03,392,2388,100.0,38.7,23.3071
7,2/1/2024 0:02,2,-0.0004,0.0,100.0,518.67,642.09,1578.49,1400.3,14.62,21.61,554.06,2388.03,9059.66,1.3,47.22,522.48,2388.0,8138.54,8.3694,0.03,391,2388,100.0,39.19,23.4363
8,2/1/2024 0:02,2,0.0003,-0.0001,100.0,518.67,642.63,1595.32,1401.79,14.62,21.61,553.61,2388.08,9043.13,1.3,47.44,521.56,2388.06,8131.97,8.3798,0.03,392,2388,100.0,38.76,23.3736
9,2/1/2024 0:02,2,-0.0002,0.0001,100.0,518.67,643.14,1592.19,1413.58,14.62,21.61,553.12,2388.16,9048.75,1.3,47.5,521.21,2388.06,8125.63,8.4356,0.03,393,2388,100.0,38.77,23.2304
10,2/1/2024 0:02,2,0.0061,-0.0001,100.0,518.67,642.32,1584.48,1388.37,14.62,21.61,554.43,2387.98,9061.92,1.3,47.17,522.59,2388.03,8146.38,8.3981,0.03,392,2388,100.0,39.08,23.4908
11,2/1/2024 0:02,2,-0.0016,0.0005,100.0,518.67,642.29,1584.64,1404.19,14.62,21.61,552.92,2388.19,9041.32,1.3,47.6,521.16,2388.17,8119.56,8.4682,0.03,395,2388,100.0,38.97,23.2048
12,2/1/2024 0:02,2,-0.0002,0.0002,100.0,518.67,642.22,1587.45,1401.28,14.62,21.61,554.9,2388.01,9048.5,1.3,47.31,522.71,2388.02,8134.41,8.3782,0.03,391,2388,100.0,39.02,23.4964
13,2/1/2024 0:02,2,-0.0008,-0.0,100.0,518.67,642.48,1577.57,1398.06,14.62,21.61,554.9,2387.99,9067.2,1.3,47.12,522.82,2387.95,8144.35,8.3936,0.03,392,2388,100.0,39.14,23.4441
14,2/1/2024 0:02,2,-0.0031,0.0001,100.0,518.67,642.85,1591.89,1405.96,14.62,21.61,553.45,2388.09,9037.35,1.3,47.65,521.2,2388.17,8115.33,8.449,0.03,392,2388,100.0,38.82,23.3449
15,2/1/2024 0:02,2,-0.0017,-0.0002,100.0,518.67,642.75,1580.72,1393.99,14.62,21.61,554.7,2388.02,9053.83,1.3,47.26,522.42,2388.0,8138.29,8.4437,0.03,390,2388,100.0,38.93,23.4303
16,2/1/2024 0:02,2,-0.0058,0.0002,100.0,518.67,642.12,1589.31,1397.56,14.62,21.61,554.38,2388.03,9056.56,1.3,47.43,522.37,2388.0,8131.45,8.4324,0.03,392,2388,100.0,39.16,23.4421
